proyecto_id,nombre_proyecto,empresa_id,empresa,cliente_sector,lider_proyecto_id,fecha_inicio,fecha_fin_estimada,estado,presupuesto_mxn,costo_real_mxn,desviacion_presupuesto_pct,num_recursos,metodologia,satisfaccion_cliente
PRY0001,Plataforma de Analytics BI,E01,Accenture Monterrey,Telecomunicaciones,EMP00001,2024-11-08,2025-12-03,En Planeación,8894179.76,9299398.85,4.56,4,Agile/Scrum,3.8
PRY0002,Migración a la Nube AWS,E01,Accenture Monterrey,Gobierno y Sector Público,EMP00001,2023-11-25,2025-03-25,En Curso,8999460.13,11196037.63,24.41,16,Agile/Scrum,4.3
PRY0003,Modernización de Infraestructura,E01,Accenture Monterrey,Salud y Farmacéutico,EMP00001,2023-05-31,2024-04-30,Completado,11102497.67,10516551.85,-5.28,12,Agile/Scrum,4.8
PRY0004,Portal Omnicanal Cliente,E01,Accenture Monterrey,Manufactura Automotriz,EMP00001,2024-12-15,2026-03-30,En Planeación,14236128.41,15142931.07,6.37,16,Híbrida,3.8
PRY0005,Automatización RPA,E01,Accenture Monterrey,Salud y Farmacéutico,EMP00001,2024-01-25,2025-02-10,En Curso,6196750.33,7623203.58,23.02,7,Híbrida,4.7
PRY0006,Plataforma de Analytics BI,E01,Accenture Monterrey,Gobierno y Sector Público,EMP00001,2024-09-18,2024-12-15,En Planeación,4282798.37,3949120.09,-7.79,7,Agile/Scrum,4.5
PRY0007,Implementación SAP S/4HANA,E01,Accenture Monterrey,Energía y Utilities,EMP00001,2024-03-13,2024-05-12,Completado,14787453.04,17060914.23,15.37,22,Waterfall,4.1
PRY0008,Modernización de Infraestructura,E01,Accenture Monterrey,Manufactura Automotriz,EMP00001,2024-12-10,2025-08-01,En Curso,8346560.59,10390121.26,24.48,6,Agile/Scrum,4.6
PRY0009,Ciberseguridad Zero Trust,E01,Accenture Monterrey,Energía y Utilities,EMP00001,2023-10-19,2024-08-19,Completado,9436081.33,8665034.41,-8.17,14,SAFe,3.6
PRY0010,Data Lake Empresarial,E01,Accenture Monterrey,Retail y E-commerce,EMP00001,2024-01-09,2025-03-16,En Curso,4579018.94,5195449.41,13.46,8,Agile/Scrum,4.9
PRY0011,Modernización de Infraestructura,E01,Accenture Monterrey,Energía y Utilities,EMP00001,2023-12-21,2024-04-24,Completado,2756877.37,3172146.6,15.06,13,Híbrida,3.7
PRY0012,Nearshoring Center of Excellence,E01,Accenture Monterrey,Banca y Finanzas,EMP00001,2024-06-30,2024-11-06,En Curso,12060046.13,12301878.73,2.01,10,Agile/Scrum,3.9
PRY0013,DevOps Pipeline CI/CD,E01,Accenture Monterrey,Salud y Farmacéutico,EMP00001,2024-05-20,2025-05-02,En Curso,10996957.51,13038906.0,18.57,12,Agile/Scrum,3.3
PRY0014,Migración a la Nube AWS,E01,Accenture Monterrey,Logística y Cadena de Suministro,EMP00001,2023-01-31,2024-02-19,Completado,12153014.72,13047520.64,7.36,19,Agile/Scrum,5.0
PRY0015,API Gateway Microservicios,E01,Accenture Monterrey,Retail y E-commerce,EMP00001,2023-09-03,2024-01-14,Completado,10828419.01,11017388.2,1.75,17,SAFe,3.7
PRY0016,DevOps Pipeline CI/CD,E01,Accenture Monterrey,Telecomunicaciones,EMP00001,2024-07-26,2025-03-17,En Curso,2737616.36,2591112.89,-5.35,10,Agile/Scrum,3.0
PRY0017,DevOps Pipeline CI/CD,E01,Accenture Monterrey,Salud y Farmacéutico,EMP00001,2024-12-09,2025-07-01,En Planeación,2184447.99,2729677.47,24.96,5,Agile/Scrum,5.0
PRY0018,Dashboard KPI Ejecutivo,E01,Accenture Monterrey,Banca y Finanzas,EMP00001,2024-03-09,2025-02-03,En Curso,10862803.19,11584340.36,6.64,4,Agile/Scrum,4.3
PRY0019,DevOps Pipeline CI/CD,E01,Accenture Monterrey,Logística y Cadena de Suministro,EMP00001,2023-09-07,2024-04-03,Completado,7271063.94,8948024.0,23.06,15,Agile/Scrum,4.5
PRY0020,Ciberseguridad Zero Trust,E01,Accenture Monterrey,Retail y E-commerce,EMP00001,2024-10-27,2025-04-03,En Planeación,829295.3,760793.22,-8.26,16,Agile/Scrum,3.9
PRY0021,Transformación Digital ERP,E01,Accenture Monterrey,Telecomunicaciones,EMP00001,2023-01-13,2024-06-17,Completado,5922391.54,6261262.33,5.72,13,Agile/Scrum,3.2
PRY0022,Data Lake Empresarial,E01,Accenture Monterrey,Manufactura Automotriz,EMP00001,2024-11-15,2025-02-05,En Planeación,8709182.41,9016265.33,3.53,7,Agile/Scrum,3.4
PRY0023,Transformación Digital ERP,E01,Accenture Monterrey,Salud y Farmacéutico,EMP00001,2024-03-10,2024-06-17,Completado,1835016.12,2245357.72,22.36,22,Híbrida,5.0
PRY0024,Ciberseguridad Zero Trust,E01,Accenture Monterrey,Logística y Cadena de Suministro,EMP00001,2024-10-30,2026-04-09,En Curso,13858858.53,13674108.49,-1.33,8,Agile/Scrum,3.9
PRY0025,Automatización RPA,E01,Accenture Monterrey,Logística y Cadena de Suministro,EMP00001,2023-02-17,2024-04-29,Completado,11008403.04,13519252.28,22.81,15,Híbrida,4.1
PRY0026,API Gateway Microservicios,E01,Accenture Monterrey,Retail y E-commerce,EMP00001,2024-10-11,2025-11-10,En Curso,3574385.97,3930145.25,9.95,20,SAFe,3.5
PRY0027,Plataforma de Analytics BI,E01,Accenture Monterrey,Salud y Farmacéutico,EMP00001,2023-10-31,2025-02-04,En Curso,9653569.0,11091653.35,14.9,8,Agile/Scrum,4.3
PRY0028,Chatbot IA Servicio al Cliente,E01,Accenture Monterrey,Salud y Farmacéutico,EMP00001,2024-05-27,2025-10-30,En Curso,3677246.95,4229349.43,15.01,22,Híbrida,4.5
PRY0029,Transformación Digital ERP,E01,Accenture Monterrey,Banca y Finanzas,EMP00001,2024-12-30,2025-12-06,En Planeación,10466599.93,9681471.2,-7.5,20,Híbrida,3.9
PRY0030,Integración Sistemas Legados,E01,Accenture Monterrey,Energía y Utilities,EMP00001,2024-12-01,2026-04-09,En Curso,7099805.64,7379572.1,3.94,21,Agile/Scrum,3.6
PRY0031,API Gateway Microservicios,E01,Accenture Monterrey,Energía y Utilities,EMP00001,2023-06-21,2024-11-16,Completado,5312208.26,4945976.02,-6.89,17,Waterfall,3.5
PRY0032,Nearshoring Center of Excellence,E01,Accenture Monterrey,Retail y E-commerce,EMP00001,2023-05-21,2024-09-06,Completado,3160222.05,3754212.15,18.8,20,Kanban,4.6
PRY0033,Nearshoring Center of Excellence,E01,Accenture Monterrey,Gobierno y Sector Público,EMP00001,2024-08-08,2025-10-17,En Planeación,6200690.9,7129909.48,14.99,19,Agile/Scrum,3.0
PRY0034,Automatización RPA,E01,Accenture Monterrey,Banca y Finanzas,EMP00001,2023-09-27,2023-12-29,Completado,13277074.9,13159649.11,-0.88,8,Kanban,3.5
PRY0035,Plataforma de Analytics BI,E01,Accenture Monterrey,Salud y Farmacéutico,EMP00001,2024-03-25,2025-01-21,En Curso,7712605.86,8967714.5,16.27,19,Agile/Scrum,4.0
PRY0036,Integración Sistemas Legados,E01,Accenture Monterrey,Salud y Farmacéutico,EMP00001,2024-06-14,2024-10-28,En Curso,10998935.49,10478443.06,-4.73,11,Híbrida,4.0
PRY0037,Ciberseguridad Zero Trust,E01,Accenture Monterrey,Energía y Utilities,EMP00001,2024-10-25,2025-03-13,En Planeación,7871457.42,7768678.53,-1.31,11,Agile/Scrum,3.4
PRY0038,Chatbot IA Servicio al Cliente,E01,Accenture Monterrey,Logística y Cadena de Suministro,EMP00001,2024-07-11,2025-01-02,En Planeación,3229602.52,3930897.13,21.71,11,Híbrida,3.4
PRY0039,Plataforma de Analytics BI,E01,Accenture Monterrey,Logística y Cadena de Suministro,EMP00001,2024-07-27,2025-04-28,En Curso,6448252.84,7545415.81,17.01,16,SAFe,4.2
PRY0040,Implementación SAP S/4HANA,E01,Accenture Monterrey,Manufactura Automotriz,EMP00001,2024-11-02,2025-04-16,En Planeación,7907772.29,7774598.62,-1.68,13,Kanban,5.0
PRY0041,Modernización de Infraestructura,E01,Accenture Monterrey,Banca y Finanzas,EMP00001,2023-01-06,2023-07-24,Completado,13615225.28,14021177.83,2.98,13,SAFe,3.0
PRY0042,Integración Sistemas Legados,E01,Accenture Monterrey,Gobierno y Sector Público,EMP00001,2024-08-11,2026-01-07,En Planeación,7247842.65,7456660.14,2.88,8,Agile/Scrum,4.5
PRY0043,Integración Sistemas Legados,E01,Accenture Monterrey,Gobierno y Sector Público,EMP00001,2024-01-15,2024-07-21,Completado,9986099.26,11809406.5,18.26,4,Híbrida,3.2
PRY0044,Ciberseguridad Zero Trust,E01,Accenture Monterrey,Salud y Farmacéutico,EMP00001,2023-04-11,2023-07-24,Completado,10624793.41,10619836.54,-0.05,17,Agile/Scrum,3.9
PRY0045,Modernización de Infraestructura,E01,Accenture Monterrey,Retail y E-commerce,EMP00001,2023-05-15,2024-09-27,Completado,13435086.01,13942341.76,3.78,24,Agile/Scrum,3.5
